Año;Serial;Evento;ADM1_CODE;ADM1;ADM2_CODE;ADM2;LUGAR;Fecha;Observaciones;Causa;Descripción de la Causa;Fuente;Magnitud;Número GLIDE;Otros sectores;Fichas;Muertos;Heridos;Desaparecidos;Viviendas Destruídas;Viviendas Afectadas;Damnificados;Afectados;Reubicados;Evacuados;Pérdidas $USD;Pérdidas $Local;Centros Educativos;Centros Médicos;Daños cultivos Ha
1998;1998-00035;FLOOD;2;Madriz;;;Datos Departamentales;1998/10/22;Escases generalizada de alimentos por pérdida de las cosechas, debido a las inundaciones.;Huracán;Intensa lluvias en el Norte de Nicaragua durante el Huracán ;La Prensa 1998-11-6 P. 1A, 3A, 4B;;;;1;;;;662;394;20000;;;;;;;;
1998;1998-00036;FLOOD;1;Nueva Segovia;111;Quilalí;En Quilalí;1998/10/22;1373 hectáreas de cultivo destruidas, entre los cultivos figuran maíz, frijoles, café, tabaco y jengibres.;Huracán;Huracán Mitch;La Prensa 1998-11-6 P. 1A, 3A, 4B;;;;1;;;;;;1200;;;;;;;;1373
1998;1998-00037;SPATE;16;RAAS;;;Datos Departamentales;1998/10/22;Dos Puentes Dañados, Cinco kilómetros de carreteras dañadas. Perdidas en agricultura, infraestructura y servicios básicos.;Huracán;Desbordamiento de ríos durante el Huracán Mitch.;La Prensa 1998-11-07 P. 1A, 4A;;;;1;;;;2599;;20689;;;;;;;;
1998;1998-00038;SPATE;15;RAAN;;;Datos departamentales;1998/10/22;En la RAAN, 15 muertos, 109 heridos, 890 casas destruidas, 12931 damnificados Datos reflejados por la fuente.;Huracán;Desbordamiento de ríos en la RAAN durante el Huracán Mitch;La Prensa 1998-11-07 P. 1A, 4A;;;;1;15;109;;890;;12931;;;;;;;;
1998;1998-00039;FLOOD;11;Boaco;1103;Camoapa;Municipio de Camoapa.;1998/10/22;Inundaciones provocadas por intensas lluvias por el huracán Mtch afectó a 200 personas y dejó damnificadas a 120. Datos proporcionados por la fuente.;Huracán;Intensas lluvias en Camoapa por el Huracán Mitch.;La Prensa 1998-11-10 P. 4B;;;;1;;;;;;120;200;;;;;;;
1998;1998-00040;RAIN;14;Matagalpa;1413;Ciudad Darío;Municipio de Ciudad Darío.;1998/10/22;Las condiciones que dejo el paso del huracán provocaron un brote de conjuntivitis, y 30 casos de cólera.;Huracán;Huracán Mitch;La Prensa 1998-11-11 P. 3A;;;;1;25;30;;;;18000;;;;;;;;
1998;1998-00041;RAIN;14;Matagalpa;1405;Sébaco;Municipio de Sébaco.;1998/10/22;Hubo un fuerte brote de cólera, conjuntivitis, y enfermedades respiratorias;Huracán;Huracán Mitch;"La Prensa 1998-11-11 P. 3A; 03 P. Edición Especial";;;;1;20;;;;;11445;;;;;;;;
1998;1998-00042;SPATE;3;Estelí;304;San Juan de Limay;San Juan De Limay;1998/10/22;Destrucción de puentes y tramos de la carretera dejaron incomunicado al municipio.;Huracán;Desbordamientos de ríos en Estelí durante el Huracán Mitch.;"La Prensa 1990-11-23 P. 1D; 03 P. Edición Especial 2; 1998-10-31 P. 5B";;;;1;15;;;360;;7030;;;;;;;;
1998;1998-00043;FLOOD;8;Granada;803;Granada;Malacatoya;1998/10/22;Inundaciones en Malacatoya dejaron perdidas en 639 hectáreas de arroz de riego, afectando a 475 productores que estimaron perdidas de 391000 dólares. 8000 personas damnificadas.;Huracán;Desbordamiento del río Malacatoya durante el Huracán Mitch.;La Prensa 1998-11-25 P. 6D;;;;1;;;;;;8000;475;;;391000;4328370;;;639
1998;1998-00044;RAIN;7;Masaya;701;Nindirí;Municipio de Nindirí.;1998/10/22;En el Municipio de Nindirí, 1196 hectáreas de cultivos pérdidos por las lluvias, entre los cultivos figuran frijol, maíz, sorgo y yuca.100 kilómetros en caminos rurales dañados.;Huracán;Huracán Mitch;La Prensa 1998-11-25 P. 4D;;;;1;;;;;;;;;;;;;;1196
1998;1998-00045;FLOOD;14;Matagalpa;1412;Terrabona;Municipio de Terrabona;1998/10/22;30 comarcas incomunicadas por las lnundaciones. 90% de la agricultura pérdida. 108 enfermos de diárrea, cólera, conjuntivitis, afecciones de la piel o dengue.;Huracán;Intensas lluvias en el Norte de Nicargua por el Huracán Mitc;"La Prensa 1998-11-29 P. 1A, 3A; 03 P. Edición Especial";;;;1;;108;;;;4324;;;;;;;;
1998;1998-00046;FLOOD;6;Managua;602;Tipitapa;Tipitapa;1998/10/22;Barrios ubicados en la  costa del Lago y una parte de la carretera Panamericana fue inundada.;Huracán;Huracán Mitch;La Prensa 1998-11-30 P. 5A, 3A;;;;1;;;;;;9000;;;;;;;;
1998;1998-00047;FLOOD;2;Madriz;202;Totogalpa;En Totogalpa.;1998/10/22;Inundaciones provocaron pérdidas en los cultivos de granos básicos, se perdió: maíz, frijol, sorgo, café, hortalizas y huertas.;Huracán;Intansas lluvias en el Norte de Nicaragua durante el Huracán;La Prensa 1998-12-10 P. 5A;;;;1;;;;94;182;1837;3855;;;;;;;1640
1998;1998-00048;FLOOD;1;Nueva Segovia;106;Dipilto;En Dipilto;1998/10/22;16 kilómetros de carretera destruida, 4 muertos, 210 viviendas destruidas y 4200 damnificados por las lluvias y la crecida del río.;Huracán;Huracán Mitch;"La Prensa 1998-11-4 P.1A, 3A, 4A; 1998-12-27 P.6B";;;;1;4;;;210;;4200;;;;;;;;
1998;1998-00049;FLOOD;1;Nueva Segovia;109;Ocotal;En Ocotal;1998/10/22;Seis kilómetros de tuberías de agua potable destruidos, 377 viviendas destruidas y 8000 damnificados debido a la crecida de 2 ríos.;Huracán;;"La Prensa 1998-11-04 P. 3A; 1998-12-27 P.6B";;;;1;;;;377;;8000;;;;;;;;
1999;1999-00001;FLOOD;1;Nueva Segovia;109;Ocotal;Ciudad de Ocotal;1999/1/6;Escases de agua potable, inundaciones destruyeron estaciones de bombeo, galerías y captaciones;Huracán;Huracán Mitch;La Presa 1999-01-07 P. 4B;;;;1;;;;;;;5200;;;;;;;
1999;1999-00002;FIRE;6;Managua;605;Managua;Mercado Iván Montenegro y Mercado Oriental;1999/1/2;Los datos de damnificados se dedujo de multiplicar por cinco los tramos quemados.  35 tramos del Mercado Oriental y cuatro del Iván Montenegro.;SHORTCIRCUIT;Debido a las inapropiadas condiciones en que están instalado;La Prensa 1999-01-03 P. 1A, 8A;;;;1;;;;39;;195;;;;904017,86;10125000;;;
1999;1999-00003;EPIDEMIC;8;Granada;803;Granada;En Granada;1999/3/7;303 casos de malaria;ATMOSPHCONDITION;Proliferación de mosquitos debido a la excesiva humedad que ;La Prensa 1999-03-05;;;;1;;303;;;;;;;;;;;;
1999;1999-00004;POLLUTION;7;Masaya;702;Masaya;Volcán Masaya y volcán Santiago;1999/5/8;20000 afectados por emanaciones tóxicas de ambos volcanes, afecciones respiratorias y perdidas en la agricultura.;ERUPTION;Volcán Masaya y volcán Santiago;"La Prensa 1999-05-09 P. 1A, 4A; 10 P. 2A";;;;1;;;;;;;20000;;;;;;;
1999;1999-00005;FLOOD;4;Chinandega;413;Posoltega;Tres comunidades de Posoltega;1999/5/9;Inundación de caminos, tres comunidades de Posoltega incomunicadas.;OVERFLOW;;La Prensa 1999-05-09 P. 1A, 9A;;;;1;;;;;;;;;;;;;;
1999;1999-00006;FLOOD;4;Chinandega;407;Somotillo;El Guasaule;1999/5/14;Puente provisional dañado, interrumpiendo el trafico.;OVERFLOW;Desbordamiento del ´río Negro.;La Prensa 1999-05-14 P. 1A, 5A;;;;1;;;;;;;;;;;;;;
1999;1999-00007;FLOOD;14;Matagalpa;1406;Matagalpa;Ciudad de Matagalpa.;1999/5/14;66 personas evacuadas de zonas vulnerables por el paso del huracán Mitch.;OVERFLOW;Primeras Lluvias y fueron intensas.;La Prensa 1999-05-15 P. 1A, 5A;;;;1;;;;;;;;;66;;;;;
1999;1999-00008;RAIN;6;Managua;605;Managua;En la ciudad de Managua;1999/7/10;Los datos de las personas efectadas se dedujo de multiplicar por cinco las viviensas afectadas. Las lluvias dejaron Apagones, calles inundadas y 15 casas afectadas.;ATMOSPHCONDITION;Intensas lluvias en Mananagua.;La Prensa 1999-07-11 P.1A, 5A;;;;1;;;;;15;;75;;;;;;;
1999;1999-00009;FLOOD;16;RAAS;1606;Kukrahill;Kukrahill.;1999/7/13;Dos ahogados y 2100 personas afectadas por inundaciones;OVERFLOW;Desbordamiento del río Escondido.;La Prensa 1999-07-14 P. 1A, 6B;;;;1;2;;;;;;2100;;;;;;;
1999;1999-00010;EARTHQUAKE;5;León;508;León;León;1999/7/4;Cultivos y casa dañadas, por sismos y emanación de gases del volcán. El número de personas afectadas se dedujo multiplicando por cinco el numero de viviendas afectadas.;ERUPTION;Volcán Cerro Negro;La Prensa 1999-07-05 P. 7B;;;;1;;;;;77;;385;;;;;;;1400
1999;1999-00011;EARTHQUAKE;5;León;509;La Paz Centro;La Paz Centro;1999/8/7;485 damnificados por los sismos que dañaron y destruyeron varias viviendas.;ERUPTION;Volcán Momotombo.;"La Prensa 1999-08-08 P. 1A, 2A; 09 P.1A, 6A";;;;1;;;;26;58;485;;;;;;;;
1999;1999-00012;TORNADO;5;León;502;El Sauce;En el Sauce.;1999/8/9;Tornado desprendió techos de ocho casas. El número de personas afectadas se dedujo multiplicando por cinco el numero de viviendas afectadas.;ATMOSPHCONDITION;;La Prensa 1999-08-10 P. 1A, 6A;;;;1;;;;;8;;40;;;;;;;
1999;1999-00013;FLOOD;4;Chinandega;408;Villanueva;Comunidad Las Cepas;1999/9/8;Comunidad Las Cepas, 500 evacuados, datos reflejados por la fuente.;OVERFLOW;;La Prensa 1999-09-11 P. 4A;;;;1;;;;;;;;;500;;;;;
1999;1999-00014;LANDSLIDE;13;Jinotega;1301;Wiwilí;En Wiwilí;1999/9/10;La fuente refleja 165 afectados, 32 viviendas dañadas, 4 viviendas destruidas y 259 hectáreas de maíz, frijol cafe. El número de damnificados se dedujo multiplicando por cinco el numero de viviendas destruidas.;RAIN;Lluvias crearon las condiciones para deslizamientos de lodo.;La Prensa 1999-09-11 P. 1A, 4A;;;;1;;;;4;32;20;165;;;;;;;259
1999;1999-00015;LANDSLIDE;1;Nueva Segovia;106;Dipilto;En Dipilto;1999/9/14;Deslave acabó con 21 hectáreas de cultivos y 6 viviendas. El número de damnificados se dedujo multiplicando por cinco el numero de viviendas destruidas.;RAIN;Lluvias intensas en el Norte de Nicaragua.;La Prensa 1999-09-15 P. 1A, 12A;;;;1;;;;6;;30;;;;;;;;21
1999;1999-00016;LANDSLIDE;10;Rivas;1006;Altagracia;Volcán Maderas en Altagracia, Isla de Ometepe.;1999/9/16;Deslave provoco la destrucción de 2 casas, daños en el servicio de agua potable y dejo incomunicadas a 3 comunidades. El número de damnificados se dedujo multiplicando por cinco el numero de viviendas destruidas.;RAIN;Lluvias provocaron las condiciones para el deslizamiento de ;La Prensa 1999-09-17 P. 1A, 6A, 7A;;;;1;;;;2;;10;;;;;;;;
1999;1999-00017;SPATE;4;Chinandega;409;Chinandega;Municipio de Chinandega;1999/9/16;Dos puentes destruidos, uno en Campuzano, 25 kilómetros de Chinandega y el otro a ocho kilómetros.;OVERFLOW;Desbordamiento de ríos.;La Prensa 1999-09-17 P. 1A, 6A, 7A;;;;1;;;;;;;;;;;;;;
1999;1999-00018;FLOOD;4;Chinandega;413;Posoltega;En Posoltega;1999/9/16;El número de personas afectadas se dedujo multiplicando por cinco el numero de viviendas afectadas.;OVERFLOW;;La Prensa 1999-09-17 P. 1A, 6A, 7A;;;;1;;;;;580;;2900;;;;;;;
1999;1999-00019;FLOOD;6;Managua;607;San Rafael del Sur;En San Rafael del Sur.;1999/9/16;Comunidades incomunicadas, numero de viviendas y personas damnificadas y evacuadas, y viviendas afectadas de acuerdo a la fuente.;RAIN;Intensas lluvias en San Rafael del Sur.;La Prensa 1999-09-17 P. 1A, 6A, 7A;;;;1;;;;5;95;204;;;76;;;;;
1999;1999-00020;FLOOD;5;León;508;León;En la ciudad de León.;1999/9/17;Dato reflejado por fuente. El número personas evacuadas se dedujo multiplicando por cinco el numero de familias evacuadas.;RAIN;LLuvias intensas en el Occidente de Nicaragua.;La Prensa 1999-09-18 P. 1A, 4A, 5A;;;;1;;;;;;;;;175;;;;;
1999;1999-00021;FLOOD;4;Chinandega;407;Somotillo;Somotillo;1999/9/17;El número personas evacuadas se dedujo multiplicando por cinco el numero de familias evacuadas.;RAIN;Intensas lluvias en el Occidente de Nicaragua.;La Prensa 1999-09-18 P. 1A, 4A, 5A;;;;1;;;;;;;;;1300;;;;;
1999;1999-00022;FLOOD;4;Chinandega;408;Villanueva;Villanueva;1999/9/17;El número personas evacuadas se dedujo multiplicando por cinco el numero de familias evacuadas.;RAIN;Intensas lluvias en el Occidente de Nicaragua.;La Prensa 1999-09-18 P. 1A, 4A, 5A;;;;1;;;;;;;;;715;;;;;
1999;1999-00023;FLOOD;10;Rivas;1001;Tola;Municipio de Tola.;1999/9/19;21168 personas incomunicadas en 18 comunidades.;OVERFLOW;Desbordamiento de ríos en Tola;"La Prensa 1999-09-20 P. 1A; 1999-10-03 P. 8A";;;;1;;;;;;;21168;;;;;;;
1999;1999-00024;FLOOD;1;Nueva Segovia;109;Ocotal;En Ocotal;1999/9/24;Río Dipilto destruyó la presa que era parte del sistema de abastecimiento de agua potable, también afectó casas, caminos y 4 familias se auto evacuaron;OVERFLOW;Desbordamiento del río Dipilto.;La Prensa 1999-09-25 P. 7B;;;;1;;;;;;;;;20;;;;;
1999;1999-00025;LANDSLIDE;9;Carazo;901;San Marcos;Comunidad El Uval;1999/9/27;El deslave dejo caminos destruidos en la comunidad El Uval, en San Marcos.;RAIN;LLuvias intensas en Carazo.;La Prensa 1999-09-28 P. 1A, 9A;;;;1;;;;;;;;;;;;;;
1999;1999-00026;FLOOD;4;Chinandega;403;Cinco Pinos;En Cinco Pinos;1999/9/27;10000 personas incomunicadas por inundaciones en caminos.;OVERFLOW;Crecida de los ríos: El Gallo, el Ubuto y la Quebrada.;La Prensa 1999-09-28 P. 1A, 9A;;;;1;;;;;;;10000;;;;;;;
1999;1999-00027;RAIN;2;Madriz;201;Somoto;Somoto;1999/9/27;Lluvias socavaron Caminos;ATMOSPHCONDITION;Intensas lluvias en Somoto.;La Prensa 1999-09-28 P. 1A, 9A;;;;1;;;;;;;;;;;;;;
1999;1999-00028;RAIN;2;Madriz;209;San José de Cusmapa;San José de Cusmapa.;1999/9/27;Lluvias socavaron caminos;ATMOSPHCONDITION;;La Prensa 1999-09-28 P. 1A, 9A;;;;1;;;;;;;;;;;;;;
1999;1999-00029;RAIN;2;Madriz;208;Las Sabanas;Las Sabanas;1999/9/27;Lluvias socavaron caminos. La Sabanas quedó incomunicado con otros municipios.;ATMOSPHCONDITION;;La Prensa 1999-09-28 P. 1A, 9A;;;;1;;;;;;;;;;;;;;
1999;1999-00030;FLOOD;4;Chinandega;411;Corinto;San Martín, el Chorizo, Estadio Infantil, Barrio Nuevo, Azar;1999/9/27;50 casas inundadas. El número de personas afectadas se dedujo multiplicando por cinco el numero de viviendas afectadas.;RAIN;Intensas lluvias en el Occidente de Nicaragua.;La Prensa 1999-09-28 P. 7B;;;;1;;;;;50;;250;;;;;;;
1999;1999-00031;FLOOD;10;Rivas;1001;Tola;Tola;1999/9/28;Datos reflejados por la fuente. El número personas evacuadas se dedujo multiplicando por cinco el numero de familias evacuadas.;OVERFLOW;;La Prensa 1999-09-29 P. 1A, 12A;;;;1;;;;;;;17365;;239;;;;;
1999;1999-00032;FLOOD;10;Rivas;1003;Potosí;Potosí;1999/9/28;1016  personas afectadas por inundaciones en Potosí. Datos reflejados por la fuente.;OVERFLOW;;La Prensa 1999-09-29 P. 1A, 12A;;;;1;;;;;;;1016;;;;;;;
1999;1999-00033;FLOOD;10;Rivas;1002;Belén;Belén;1999/9/28;4031 afectados en Belén, por inundaciones. Datos reflejados por la fuente.;OVERFLOW;Desbordamiento de ríos.;La Prensa 1999-09-29 P. 1A, 12A;;;;1;;;;;;;4031;;;;;;;
1999;1999-00034;FLOOD;10;Rivas;1004;Buenos Aires;Buenos Aires.;1999/9/28;807 afectados  por inundaciones en Buenos Aires. Datos reflejados por la fuente.;OVERFLOW;;La Prensa 1999-09-29 P. 1A, 12A;;;;1;;;;;;;807;;;;;;;
1999;1999-00035;FLOOD;10;Rivas;1009;San Juan del Sur;En San Juan del Sur.;1999/9/28;Inundaciones en caminos, destrucción de puentes y 80 viviendas afectadas. El número de personas afectadas se dedujo de multiplicar por cinco las 80 viviendas afectadas. El número de personas damnificadas se dedujo multiplicando por cinco el numero de familias damnificadas.;OVERFLOW;Crecida del Río San Juan del Sur.;"La Prensa 1999-09-29 P. 1A, 12A; 1999-10-02 P. 1A; 03 P. 8A";;;;1;;;;;80;1500;400;;;;;;;
1999;1999-00036;FLOOD;3;Estelí;301;Pueblo Nuevo;Pueblo NUevo;1999/9/29;Datos reflejados por la fuente. El número de personas afectadas se dedujo multiplicando por cinco el numero de familias afectadas.;OVERFLOW;;La Prensa 1999-09-29 P. 1A, 12A;;;;1;;;;;;;1615;;;;;;;
1999;1999-00037;FLOOD;10;Rivas;1006;Altagracia;Isla de Ometepe, Altagracia.;1999/9/28;Datos reflejados por la fuente.;RAIN;LLuvias intensas en la Isla de Ometepe.;La Prensa 1999-09-29 P. 1A, 12A;;;;1;;;;;;;2124;;;;;;;
1999;1999-00038;RAIN;4;Chinandega;413;Posoltega;Posoltega;1999/9/29;560 hectáreas de granos básicos perdidas por excesivas lluvias.;ATMOSPHCONDITION;;La Prensa 1999-09-30 P. 5D;;;;1;;;;;;;;;;;;;;560
1999;1999-00039;FLOOD;4;Chinandega;408;Villanueva;Villa Nueva.;1999/10/2;603 personas evacuadas en Villanueva, datos reflejados por la fuente.;OVERFLOW;Desbordamiento de ríos en Villanueva.;La Prensa 1999-10-03 P. 1A, 5A, 6A;;;;1;;;;;;;;;603;;;;;
1999;1999-00040;FLOOD;3;Estelí;304;San Juan de Limay;San Juan de Limay;1999/10/2;Caminos inundados, y personas evacuadas. El número personas evacuadas se dedujo multiplicando por cinco el numero de familias evacuadas.;OVERFLOW;Desbordamiento de ríos en San Juan de Limay.;La Prensa 1999-10-03 P. 1A, 5A, 6A;;;;1;;;;;;;;;175;;;;;
1999;1999-00041;FLOOD;6;Managua;604;Villa El Carmen;Villa El Carmen.;1999/10/3;35 mil personas afectadas por inundaciones en el Municipio de Villa El Carmen. Datos reflejados por la fuente.;OVERFLOW;Desbordamiento de ríos en Villa El Carmen.;La Prensa 1999-10-03 P. 1A, 5A, 6A;;;;1;;;;;;;35000;;;;;;;
1999;1999-00042;FLOOD;10;Rivas;1008;Rivas;En el Municipio de Rivas.;1999/10/2;1840 personas efectadas por inundaciones en Rivas. Datos reflejados por la fuente;OVERFLOW;Desbordamiento de ríos en Rivas.;La Prensa 1999-10-03 P. 8A;;;;1;;;;;;;1840;;;;;;;
1999;1999-00043;FLOOD;9;Carazo;904;Diriamba;Diriamba;1999/10/2;2813 personas incomunicadas con falta de alimentos y medicinas.;OVERFLOW;Desbordamiento de río Grande de Carazo.;La Prensa 1999-10-03 P. 9B, 10B;;;;1;;;;;;;2813;;;;;;;
1999;1999-00044;FLOOD;6;Managua;605;Managua;Barrios ubicados cerca de la Costa del Lago Xolotlán.;1999/10/4;Mil ochenta personas afectadas por inundaciones.  El número de personas damnificadas se dedujo multiplicando por cinco el numero de familias damnificadas.;OVERFLOW;Cricida del Lago Xolotlán.;La Prensa 1999-10-04 P. 1A, 6A;;;;1;;;;;;1080;;;;;;;;
1999;1999-00045;FLOOD;5;León;508;León;Municipio de León;1999/10/5;Cuatro mil 631 personas afectadas por inundaciones y por las carreteras obstaculizadas por los malos caminos. Datos reflejados por la fuente;RAIN;Intensas lluvias en León.;La Prensa 1999-10-06 P.6B;;;;1;;;;;;;4631;;;;;;;
1999;1999-00046;FLOOD;5;León;509;La Paz Centro;Miralagos, el Hoyo, Puerto Momotombo, Las Colinas, Califroni;1999/10/6;180 personas afectadas en estas comnidades de La Paz Centro. Datos reflejados por la fuente.;OVERFLOW;Desbordamiento del Lago Xolotlán.;La Prensa 1999-10-06 P. 6B;;;;1;;;;;;;180;;;;;;;
1999;1999-00047;FLOOD;5;León;502;El Sauce;El Sauce.;1999/10/5;(45 personas afectadas por inundaciones. Datos reflejados por la fuente;RAIN;Intensas lluvias en el Occidente de Nicaragua.;La Prensa 1999-10-06 P. 6B;;;;1;;;;;;;845;;;;;;;
1999;1999-00048;FLOOD;5;León;505;Larreynaga;Larreynaga;1999/10/5;Tres mil 109 presonas afectadas por inundaciones. Datos reflejados por la fuente;RAIN;Intensas lluvias en el Occidente de Nicaragua.;La Prensa 1999-10-06 P. 6B;;;;1;;;;;;;3109;;;;;;;
1999;1999-00049;FLOOD;5;León;504;El Jicaral;El Jicaral.;1999/10/5;Tres mil 676 personas afectadas por inundaciones. Datos reflejados por la fuente.;OVERFLOW;Desbordamiento de ríos en El Jicaral.;La Prensa 1999-10-06 P. 6B;;;;1;;;;;;;3676;;;;;;;
1999;1999-00050;FLOOD;1;Nueva Segovia;109;Ocotal;Municipio de Estelí;1999/10/6;LLuvias provocaron la  destrucción de una represa y parte del sistema de acueductos.;OVERFLOW;;La Prensa 1999-10-07 P. 1A, 5A;;;;1;;;;;;;4000;;;;;;;
1999;1999-00051;FLOOD;1;Nueva Segovia;106;Dipilto;Municipio de Dipilto.;1999/10/6;Inundaciones provocaron daños en 23 puentes peatonales y 18 kilómetros de carretera.;OVERFLOW;Desbordamiento del río Dipilto.;La Prensa 1999-10-07 P. 1A, 5A;;;;1;;;;;;;;;;;;;;
1999;1999-00052;FLOOD;4;Chinandega;411;Corinto;Municipio de Corinto.;1999/10/6;Intensas lluvias en el Municipio de Corinto que dejó perdidas por 165016 dólares en puentes y calles;RAIN;Intensas lluvias en el Municipio de Corinto.;La Prensa 1999-10-07 P. 9D;;;;1;;;;;;;;;;165016;2000000;;;
1999;1999-00053;FLOOD;15;RAAN;1503;Rosita;Municipio de Rosita;1999/10/7;Inundaciones destruyeron el puente Bambana en Rosita.;OVERFLOW;Desbordamiento del río Bambana.;La Prensa 1999-10-08 P. 1A;;;;1;;;;;;;;;;;;;;
1999;1999-00054;FLOOD;14;Matagalpa;1406;Matagalpa;Municipio de Matagalpa.;1999/10/7;Calles y puentes dañados por inundaciones. Datos de personas y casas afectadas reflejados por la fuente.;OVERFLOW;;La Prensa 1999-10-08 P. 1A, 4A;;;;1;;;;8;92;110;;;100;;;;;
1999;1999-00055;DROUGHT;4;Chinandega;407;Somotillo;Somotillo;1999/8/9;Pérdida de 11058 hectáreas de cultivos de maíz, trigo y frijol por las sequías.;ENSO_KID;;La Prensa 1997-08-09 P. 1A;;;;1;;;;;;;;;;;;;;11058
2000;2000-00001;FIRE;6;Managua;605;Managua;Centro Juvenil de Convenciones, Olofito.;2000/1/18;Se quemó ranchón del Centro Juvenil de Convenciones, Olof Palme, Olofito. Esto afecta a jóvenes que hacián sus congresos. Los damnificados se dedujo de multiplicar por cinco el local quemado.;BEHAVIOR;Jardinero pegaron fuego a basura y se salió de control.;La Prensa 2000-01-19 P.7B;;;;1;;;;1;;5;;;;20242,91;250000;;;
2000;2000-00002;ERUPTION;4;Chinandega;412;Chichigalpa;Municipio de Chichigalpa;2000/1/23;El principal daño es en los pastos, principal alimento para el ganado,  2000 mzs de pastos y 320 mzs de ajonjolí.;OTHER;;La Prensa 2000-01-24 P.8B;;;;1;;;;;;;;;;;;;;1621,43
2000;2000-00003;STRONGWIND;13;Jinotega;1307;Jinotega;En la Ciiiudad de Jinotega;2000/1/16;Fuertes vientos destruyen techo del hospital de jinotega y arrancan el techo de 30 viviendas. El dato de afectados se dedujo de multiplicar por cinco las 30 casas afectadas. Tambien afectó el tendico eléctrico, por lo que se suspendió el servicio de energía.;ATMOSPHCONDITION;Vientos huracanados en Jinotega;La Prensa 2000-01-17 P5A,19 P.9B;;;;1;;;;;30;;150;;;;;;1;
2000;2000-00004;STRONGWIND;2;Madriz;208;Las Sabanas;Tres comunidades: Nueva Esperanza, Villa El Carmen, Buena Vi;2000/1/17;Veinte viviendas perdieron sus techos y algunas sus paredes de adobe. Los datos de afectados se dedujo de multiplicar por cinco las 20 viviendas afectadas.;ATMOSPHCONDITION;Vientos huracanados en Madriz.;La Prensa 2000-01-18 P.12A;;;;1;;;;;20;;100;;;;;;;
2000;2000-00005;STRONGWIND;3;Estelí;301;Pueblo Nuevo;Municipio de Pueblo Nuevo.;2000/1/17;Seis viviendas con daños  en los techos dejó los fuertes vientos que azotó pueblo Nuevo. Los datos de afectados se dedujo de multiplicar por cinco las seis viviendas dañadas.;ATMOSPHCONDITION;Fuertes vientos en Pueblo Nuevo.;La Prensa;;;;1;;;;;6;;30;;;;;;;
2000;2000-00006;FIRE;6;Managua;605;Managua;Reparto San Patricio.;2000/2/3;Se quemó una vivienda y todo los enseres domésticos, 240 metros cuadrados destruidos por las llamas. Los datos de damnificados se dedujo de multiplicar por cinco la vivienda destruida.;UNKNOWN;;La Prensa 2000-02-04 P.7B;;;;1;;;;1;;5;;;;;;;;
2000;2000-00007;FIRE;6;Managua;605;Managua;Creca de donde fue el cine Cabrera.;2000/2/10;Se quemó una vivienda que funcionaba como taller de carpintería. Los datos de damnificados se dedujo de multiplicar por cinco la vivienda destruida.;SHORTCIRCUIT;;La Prensa 2000-02-11 P.8B;;;;1;;;;1;;5;;;;25000;310250;;;
2000;2000-00008;DROUGHT;16;RAAS;1601;Bocana de Paiwas;Malakawás;2000/2/10;Largo veranillo acaba con 400 manzanas de cultivos de granos básicos También azota a esta comunidad la plaga de ratones.;ATMOSPHCONDITION;Largo veranillo en la zona de Bocana de Paiwas;La Prensa 2000-02-11 P.5D;;;;1;;;;;;;;;;;;;;279,55
2000;2000-00009;FIRE;8;Granada;803;Granada;En la ciudad de Granada.;2000/3/3;Se quemó una casa con todo los enseres domésticos. Los datos de damnificados se dedujo de multiplicar por cinco la vivienda destruida.;BEHAVIOR;Cocina de kerosene, llamas hicieron contanto con matel y fue;La Prensa 2000-03-04 P.8B;;;;1;;;;1;;5;;;;;;;;
2000;2000-00010;FIRE;6;Managua;604;Villa El Carmen;Comunidad de Somalia;2000/3/6;Se quemó una casa con todos los enseres domésticos. Los datos de damnificados se dedujo de multiplicar por cinco la casa destruida.;SHORTCIRCUIT;Malas conexiones eléctricas.;La Prensa 2000-03-07 P.7B;;;;1;;;;1;;5;;;;;;;;
2000;2000-00011;FIRE;6;Managua;605;Managua;Barrio EL Edén.;2000/3/13;Casa con daños parciales, los datos de afectados se dedujo de multiplicar por cinco la vivienda afectada.;EXPLOSION;Un menor de edad hizo estallar una bomba lacrimógena en el c;La Prensa 2000-03-14 P.9B;;;;1;;;;;1;;5;;;;;;;
2000;2000-00012;FIRE;14;Matagalpa;1406;Matagalpa;Barrio Totolate.;2000/3/15;Se quemó una casa que funcionaba como taller de carpintería. Los datos de damnificados se dedujo de multiplicar por cinco la vivienda destruida.;UNKNOWN;;La Prensa 2000-03-16 P.1B;;;;1;;;;1;;5;;;;;;;;
2000;2000-00013;FIRE;6;Managua;605;Managua;Barrio Campo Bruce.;2000/3/15;Dos casas destruidas dotalmente y otra parcial. Los datos de damnificados se dedujo de multiplicar por cinco las dos viveindas destruidas y los afectados de la vivienda afectada respectivamente.;LEAK;Escape de gas butano en un cocina.;La Prensa 2000-03-16 P.1B;;;;1;;;;2;1;10;5;;;;;;;
2000;2000-00014;FORESTFIRE;5;León;508;León;Cerro El Hoyo.;2000/3/29;Mil 840 manzanas de cultivos agrícolas, bosques y pastizales se perdieron con los incendios forestales en León;BEHAVIOR;Cazadores de la fauna silvestre.;La Prensa 2000-03-30 P.4E;;;;1;;;;;;;;;;;;;;1285,96
